security_id,symbol_name,underlying_symbol,segment,instrument_type
2,NIFTY,NIFTY,I,INDEX
25,BANKNIFTY,BANKNIFTY,I,INDEX
834804,RELIFUT,RELIANCE,D,FUTSTK
832027,RELIOPT,RELIANCE,D,OPTSTK
500325,RELIANCE,RELIANCE,E,EQ
